time(h),PH,溶氧（%）,菌体浓度（OD600）,酶活（OD405）,残糖浓度（g/L）
0,8.31,11.7,0.068,0.0,5.528
4,7.49,2.7,0.39,0.44,5.223
8,7.68,1.8,0.516,0.634,3.352
12,8.06,1.7,0.518,0.599,0.88
16,8.04,7.6,0.517,0.581,0.253
20,8.08,26.0,0.58,0.602,0.249
24,8.3,53.5,0.63,0.675,0.239
28,8.45,63.8,0.652,0.657,0.188
32,8.32,48.8,0.663,0.635,0.164
36,8.44,59.2,0.662,0.692,0.157
40,8.29,29.7,0.7,0.655,0.125
44,8.52,58.0,0.689,0.616,0.21
48,8.75,80.7,0.653,0.61,0.118
0,8.31,11.7,0.068,0.0,5.528
4,7.49,2.7,0.39,0.44,5.223
8,7.68,1.8,0.516,0.634,3.352
12,8.06,1.7,0.518,0.599,0.88
16,8.04,7.6,0.517,0.581,0.253
20,8.08,26.0,0.58,0.602,0.249
24,8.3,53.5,0.63,0.675,0.239
28,8.45,63.8,0.652,0.657,0.188
32,8.32,48.8,0.663,0.635,0.164
36,8.44,59.2,0.662,0.692,0.157
40,8.29,29.7,0.7,0.655,0.125
44,8.52,58.0,0.689,0.616,0.21
48,8.75,80.7,0.653,0.61,0.118
0,8.28,86.3,0.023,0.0,6.028
4,7.18,74.6,0.044,0.104,5.213
8,7.46,1.0,0.159,0.352,2.352
12,7.41,1.0,0.279,0.468,0.68
16,7.54,1.0,0.47,0.678,0.223
20,7.54,1.0,0.565,0.694,0.259
24,7.42,1.0,0.72,0.894,0.229
28,7.52,21.8,0.761,0.574,0.146
32,7.97,74.0,0.732,0.566,0.12
36,9.04,65.3,0.654,0.616,0.117
40,8.13,72.7,0.592,0.367,0.125
44,8.22,78.6,0.531,0.583,0.41
48,8.29,86.0,0.587,0.61,0.128
0,8.32,64.0,0.03,0.0,5.728
4,7.17,50.8,0.078,0.13,4.038
8,7.5,0.2,0.241,0.492,0.481
12,7.64,0.4,0.655,0.274,0.206
16,8.39,65.3,0.695,0.35,0.143
20,8.43,81.3,0.668,0.478,0.226
24,8.46,56.1,0.736,0.346,0.22
28,8.61,67.4,0.642,0.634,0.223
32,8.76,86.7,0.625,0.524,0.214
36,8.84,96.1,0.661,0.61,0.194
40,8.89,96.0,0.639,0.546,0.203
44,8.9,85.5,0.594,0.452,0.401
48,8.92,67.7,0.591,0.446,0.25
0,8.26,92.4,0.035,0.0,6.054
4,7.67,45.3,0.075,0.056,3.905
8,6.99,10.5,0.149,0.319,3.467
12,7.27,7.3,0.444,0.304,0.247
16,8.12,65.0,0.559,0.46,0.229
20,8.21,85.5,0.581,0.434,0.283
24,8.34,98.1,0.525,0.445,0.28
28,8.26,71.8,0.544,0.478,0.22
32,8.22,53.4,0.655,0.41,0.208
36,8.36,51.2,0.676,0.337,0.134
40,8.5,48.6,0.641,0.209,0.191
44,8.59,51.0,0.707,0.207,0.206
48,8.66,55.0,0.64,0.183,0.188
0,8.22,96.6,0.033,0.0,4.649
4,6.99,80.8,0.07,0.158,4.375
8,6.98,0.9,0.189,0.454,2.497
12,6.97,40.0,0.626,0.554,0.431
16,7.69,35.8,0.638,0.62,0.096
20,7.76,64.3,0.799,0.738,0.164
24,7.74,74.8,0.729,0.562,0.131
28,7.33,81.4,0.698,0.744,0.179
32,8.01,70.6,0.609,0.654,0.164
36,8.16,60.5,0.527,0.64,0.146
40,8.53,57.8,0.669,0.708,0.167
44,8.72,53.7,0.599,0.702,0.164
48,8.86,58.8,0.847,0.452,0.158
0,8.27,99.7,0.032,0.0,5.253
4,8.02,88.2,0.052,0.102,4.705
8,6.99,1.0,0.123,0.326,0.763
12,5.98,16.2,0.475,0.356,0.128
16,8.4,34.0,0.565,0.38,0.114
20,8.59,78.5,0.699,0.484,0.06
24,8.35,77.1,0.657,0.406,0.093
28,8.05,74.5,0.615,0.514,0.081
32,8.08,83.3,0.544,0.75,0.125
36,8.15,75.1,0.567,0.478,0.09
40,8.29,59.8,0.584,0.286,0.084
44,8.61,58.6,0.589,0.408,0.102
48,8.57,65.6,0.599,0.378,0.099
0,8.26,97.6,0.058,0.0,5.55
4,7.98,85.2,0.107,0.032,5.313
8,6.96,6.4,0.13,0.172,3.356
12,6.99,1.0,0.341,0.715,0.911
16,7.28,1.0,0.506,0.254,0.182
20,7.89,16.4,0.638,0.392,0.051
24,8.48,80.6,0.738,0.369,0.081
28,8.56,85.5,0.679,0.541,0.075
32,8.64,77.7,0.63,0.445,0.06
36,8.54,47.6,0.666,0.332,0.063
40,8.59,48.5,0.775,0.341,0.063
44,8.67,73.1,0.813,0.243,0.06
48,8.68,68.2,0.831,0.27,0.057
0,8.28,97.5,0.062,0.0,6.35
4,8.09,83.5,0.05,0.04,5.935
8,6.97,1.0,0.084,0.665,3.623
12,6.55,1.0,0.489,0.344,0.348
16,7.3,1.0,0.496,0.51,0.158
20,7.94,46.9,0.675,0.526,0.114
24,8.37,85.4,0.668,0.396,0.123
28,8.46,79.6,0.659,0.384,0.09
32,8.47,68.0,0.666,0.235,0.12
36,8.43,54.0,0.666,0.17,0.114
40,8.46,52.1,0.699,0.172,0.115
44,8.49,39.2,0.732,0.299,0.102
48,8.58,49.9,0.723,0.212,0.103
0,8.34,6.0,0.104,0.0,5.428
4,7.48,1.0,0.299,0.267,5.113
8,7.54,1.0,0.524,0.39,2.752
12,7.63,30.7,0.733,0.396,0.78
16,7.8,24.7,0.789,0.651,0.293
20,8.23,41.1,0.766,0.694,0.249
24,8.23,44.9,0.827,0.676,0.209
28,8.45,61.6,0.783,0.693,0.186
32,8.48,57.9,0.79,0.597,0.13
36,8.53,58.5,0.766,0.68,0.127
40,8.57,59.5,0.763,0.706,0.125
44,8.44,18.4,0.775,0.621,0.11
48,8.56,54.6,0.768,0.663,0.128
