,time(h),PH,PH_1,OD600,OD_1,OD405,gl,O2
0,0,8.31,8.31,0.068,0.068,0.0,5.528,11.7
1,4,7.49,8.31,0.39,0.068,0.44,5.223,2.7
2,8,7.68,7.49,0.516,0.39,0.634,3.352,1.8
3,12,8.06,7.68,0.518,0.516,0.599,0.88,1.7
4,16,8.04,8.06,0.517,0.518,0.581,0.253,7.6
5,20,8.08,8.04,0.58,0.517,0.602,0.249,26.0
6,24,8.3,8.08,0.63,0.58,0.675,0.239,53.5
7,28,8.45,8.3,0.652,0.63,0.657,0.188,63.8
8,32,8.32,8.45,0.663,0.652,0.635,0.164,48.8
9,36,8.44,8.32,0.662,0.663,0.692,0.157,59.2
10,40,8.29,8.44,0.7,0.662,0.655,0.125,29.7
11,44,8.52,8.29,0.689,0.7,0.616,0.21,58.0
12,48,8.75,8.52,0.653,0.689,0.61,0.118,80.7
13,0,8.31,8.75,0.068,0.653,0.0,5.528,11.7
14,4,7.49,8.31,0.39,0.068,0.44,5.223,2.7
15,8,7.68,7.49,0.516,0.39,0.634,3.352,1.8
16,12,8.06,7.68,0.518,0.516,0.599,0.88,1.7
17,16,8.04,8.06,0.517,0.518,0.581,0.253,7.6
18,20,8.08,8.04,0.58,0.517,0.602,0.249,26.0
19,24,8.3,8.08,0.63,0.58,0.675,0.239,53.5
20,28,8.45,8.3,0.652,0.63,0.657,0.188,63.8
21,32,8.32,8.45,0.663,0.652,0.635,0.164,48.8
22,36,8.44,8.32,0.662,0.663,0.692,0.157,59.2
23,40,8.29,8.44,0.7,0.662,0.655,0.125,29.7
24,44,8.52,8.29,0.689,0.7,0.616,0.21,58.0
25,48,8.75,8.52,0.653,0.689,0.61,0.118,80.7
26,0,8.28,8.75,0.023,0.653,0.0,6.028,86.3
27,4,7.18,8.28,0.044,0.023,0.104,5.213,74.6
28,8,7.46,7.18,0.159,0.044,0.352,2.352,1.0
29,12,7.41,7.46,0.279,0.159,0.468,0.68,1.0
30,16,7.54,7.41,0.47,0.279,0.678,0.223,1.0
31,20,7.54,7.54,0.565,0.47,0.694,0.259,1.0
32,24,7.42,7.54,0.72,0.565,0.894,0.229,1.0
33,28,7.52,7.42,0.761,0.72,0.574,0.146,21.8
34,32,7.97,7.52,0.732,0.761,0.566,0.12,74.0
35,36,9.04,7.97,0.654,0.732,0.616,0.117,65.3
36,40,8.13,9.04,0.592,0.654,0.367,0.125,72.7
37,44,8.22,8.13,0.531,0.592,0.583,0.41,78.6
38,48,8.29,8.22,0.587,0.531,0.61,0.128,86.0
39,0,8.32,8.29,0.03,0.587,0.0,5.728,64.0
40,4,7.17,8.32,0.078,0.03,0.13,4.038,50.8
41,8,7.5,7.17,0.241,0.078,0.492,0.481,0.2
42,12,7.64,7.5,0.655,0.241,0.274,0.206,0.4
43,16,8.39,7.64,0.695,0.655,0.35,0.143,65.3
44,20,8.43,8.39,0.668,0.695,0.478,0.226,81.3
45,24,8.46,8.43,0.736,0.668,0.346,0.22,56.1
46,28,8.61,8.46,0.642,0.736,0.634,0.223,67.4
47,32,8.76,8.61,0.625,0.642,0.524,0.214,86.7
48,36,8.84,8.76,0.661,0.625,0.61,0.194,96.1
49,40,8.89,8.84,0.639,0.661,0.546,0.203,96.0
50,44,8.9,8.89,0.594,0.639,0.452,0.401,85.5
51,48,8.92,8.9,0.591,0.594,0.446,0.25,67.7
52,0,8.26,8.92,0.035,0.591,0.0,6.054,92.4
53,4,7.67,8.26,0.075,0.035,0.056,3.905,45.3
54,8,6.99,7.67,0.149,0.075,0.319,3.467,10.5
55,12,7.27,6.99,0.444,0.149,0.304,0.247,7.3
56,16,8.12,7.27,0.559,0.444,0.46,0.229,65.0
57,20,8.21,8.12,0.581,0.559,0.434,0.283,85.5
58,24,8.34,8.21,0.525,0.581,0.445,0.28,98.1
59,28,8.26,8.34,0.544,0.525,0.478,0.22,71.8
60,32,8.22,8.26,0.655,0.544,0.41,0.208,53.4
61,36,8.36,8.22,0.676,0.655,0.337,0.134,51.2
62,40,8.5,8.36,0.641,0.676,0.209,0.191,48.6
63,44,8.59,8.5,0.707,0.641,0.207,0.206,51.0
64,48,8.66,8.59,0.64,0.707,0.183,0.188,55.0
65,0,8.22,8.66,0.033,0.64,0.0,4.649,96.6
66,4,6.99,8.22,0.07,0.033,0.158,4.375,80.8
67,8,6.98,6.99,0.189,0.07,0.454,2.497,0.9
68,12,6.97,6.98,0.626,0.189,0.554,0.431,40.0
69,16,7.69,6.97,0.638,0.626,0.62,0.096,35.8
70,20,7.76,7.69,0.799,0.638,0.738,0.164,64.3
71,24,7.74,7.76,0.729,0.799,0.562,0.131,74.8
72,28,7.33,7.74,0.698,0.729,0.744,0.179,81.4
73,32,8.01,7.33,0.609,0.698,0.654,0.164,70.6
74,36,8.16,8.01,0.527,0.609,0.64,0.146,60.5
75,40,8.53,8.16,0.669,0.527,0.708,0.167,57.8
76,44,8.72,8.53,0.599,0.669,0.702,0.164,53.7
77,48,8.86,8.72,0.847,0.599,0.452,0.158,58.8
78,0,8.27,8.86,0.032,0.847,0.0,5.253,99.7
79,4,8.02,8.27,0.052,0.032,0.102,4.705,88.2
80,8,6.99,8.02,0.123,0.052,0.326,0.763,1.0
81,12,5.98,6.99,0.475,0.123,0.356,0.128,16.2
82,16,8.4,5.98,0.565,0.475,0.38,0.114,34.0
83,20,8.59,8.4,0.699,0.565,0.484,0.06,78.5
84,24,8.35,8.59,0.657,0.699,0.406,0.093,77.1
85,28,8.05,8.35,0.615,0.657,0.514,0.081,74.5
86,32,8.08,8.05,0.544,0.615,0.75,0.125,83.3
87,36,8.15,8.08,0.567,0.544,0.478,0.09,75.1
88,40,8.29,8.15,0.584,0.567,0.286,0.084,59.8
89,44,8.61,8.29,0.589,0.584,0.408,0.102,58.6
90,48,8.57,8.61,0.599,0.589,0.378,0.099,65.6
91,0,8.26,8.57,0.058,0.599,0.0,5.55,97.6
92,4,7.98,8.26,0.107,0.058,0.032,5.313,85.2
93,8,6.96,7.98,0.13,0.107,0.172,3.356,6.4
94,12,6.99,6.96,0.341,0.13,0.715,0.911,1.0
95,16,7.28,6.99,0.506,0.341,0.254,0.182,1.0
96,20,7.89,7.28,0.638,0.506,0.392,0.051,16.4
97,24,8.48,7.89,0.738,0.638,0.369,0.081,80.6
98,28,8.56,8.48,0.679,0.738,0.541,0.075,85.5
99,32,8.64,8.56,0.63,0.679,0.445,0.06,77.7
100,36,8.54,8.64,0.666,0.63,0.332,0.063,47.6
101,40,8.59,8.54,0.775,0.666,0.341,0.063,48.5
102,44,8.67,8.59,0.813,0.775,0.243,0.06,73.1
103,48,8.68,8.67,0.831,0.813,0.27,0.057,68.2
104,0,8.28,8.68,0.062,0.831,0.0,6.35,97.5
105,4,8.09,8.28,0.05,0.062,0.04,5.935,83.5
106,8,6.97,8.09,0.084,0.05,0.665,3.623,1.0
107,12,6.55,6.97,0.489,0.084,0.344,0.348,1.0
108,16,7.3,6.55,0.496,0.489,0.51,0.158,1.0
109,20,7.94,7.3,0.675,0.496,0.526,0.114,46.9
110,24,8.37,7.94,0.668,0.675,0.396,0.123,85.4
111,28,8.46,8.37,0.659,0.668,0.384,0.09,79.6
112,32,8.47,8.46,0.666,0.659,0.235,0.12,68.0
113,36,8.43,8.47,0.666,0.666,0.17,0.114,54.0
114,40,8.46,8.43,0.699,0.666,0.172,0.115,52.1
115,44,8.49,8.46,0.732,0.699,0.299,0.102,39.2
116,48,8.58,8.49,0.723,0.732,0.212,0.103,49.9
117,0,8.34,8.58,0.104,0.723,0.0,5.428,6.0
118,4,7.48,8.34,0.299,0.104,0.267,5.113,1.0
119,8,7.54,7.48,0.524,0.299,0.39,2.752,1.0
120,12,7.63,7.54,0.733,0.524,0.396,0.78,30.7
121,16,7.8,7.63,0.789,0.733,0.651,0.293,24.7
122,20,8.23,7.8,0.766,0.789,0.694,0.249,41.1
123,24,8.23,8.23,0.827,0.766,0.676,0.209,44.9
124,28,8.45,8.23,0.783,0.827,0.693,0.186,61.6
125,32,8.48,8.45,0.79,0.783,0.597,0.13,57.9
126,36,8.53,8.48,0.766,0.79,0.68,0.127,58.5
127,40,8.57,8.53,0.763,0.766,0.706,0.125,59.5
128,44,8.44,8.57,0.775,0.763,0.621,0.11,18.4
129,48,8.56,8.44,0.768,0.775,0.663,0.128,54.6
